epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3671.93,0.63497,0.54313,0.47842,0.0041,0.40122,0.91089,0.89649,0.95455,0.86713,0.91213,0.89771,0.95442,0.82811,0.38949,0.43831,0.4154,0.00482,0,0.0014654,0.0014654,0.0014654
29,3802.73,0.6184,0.54581,0.47301,0.00397,0.42976,0.90087,0.90767,0.95714,0.8556,0.90208,0.90888,0.95781,0.83913,0.40444,0.41917,0.35447,0.00503,0,0.0014456,0.0014456,0.0014456
30,3933.4,0.6305,0.55438,0.47147,0.004,0.41659,0.92562,0.87211,0.94788,0.85008,0.92304,0.86967,0.94478,0.82153,0.41449,0.45342,0.45408,0.00505,0,0.0014258,0.0014258,0.0014258
31,4064.09,0.61979,0.55202,0.47746,0.00388,0.40636,0.92189,0.86845,0.95032,0.85306,0.9206,0.86724,0.95022,0.82435,0.41739,0.43705,0.35952,0.00538,0,0.001406,0.001406,0.001406
32,4194.71,0.61064,0.53569,0.46057,0.00391,0.39669,0.91109,0.88619,0.94719,0.85419,0.90987,0.88533,0.94636,0.81669,0.40534,0.44274,0.51488,0.00529,0,0.0013862,0.0013862,0.0013862
33,4325.3,0.60672,0.53813,0.46773,0.00376,0.40402,0.8905,0.90136,0.94956,0.86847,0.88787,0.90663,0.95104,0.82623,0.37139,0.42467,0.35769,0.00452,0,0.0013664,0.0013664,0.0013664
34,4455.83,0.59408,0.52976,0.45405,0.00373,0.40981,0.90558,0.90499,0.95081,0.86362,0.90942,0.90499,0.95136,0.83273,0.39153,0.41243,0.46207,0.00481,0,0.0013466,0.0013466,0.0013466
35,4586.56,0.58768,0.50985,0.43263,0.00366,0.3834,0.95339,0.86724,0.96065,0.87667,0.95205,0.86602,0.95897,0.84356,0.37041,0.40692,0.35179,0.00463,0,0.0013268,0.0013268,0.0013268
36,4717.16,0.59493,0.53044,0.45866,0.0038,0.40677,0.91458,0.90743,0.96078,0.86938,0.91458,0.90743,0.95759,0.8373,0.39223,0.40571,0.36739,0.00489,0,0.001307,0.001307,0.001307
37,4847.7,0.59964,0.53194,0.46099,0.00378,0.39768,0.89567,0.89928,0.95104,0.86973,0.89567,0.89928,0.9495,0.83746,0.39028,0.42949,0.42459,0.00489,0,0.0012872,0.0012872,0.0012872
