epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2702.11,0.57287,0.50377,0.41953,0.00356,0.34242,0.91452,0.90743,0.95517,0.8749,0.91575,0.90865,0.95615,0.8359,0.44006,0.49533,0.40469,0.00474,0,0.0014654,0.0014654,0.0014654
29,2798.66,0.57321,0.50736,0.39822,0.00353,0.3054,0.91121,0.89281,0.96021,0.87417,0.90872,0.89038,0.95795,0.84168,0.45017,0.49386,0.35096,0.00471,0,0.0014456,0.0014456,0.0014456
30,2895.22,0.56953,0.50696,0.40669,0.00348,0.30205,0.93218,0.90256,0.96659,0.8839,0.93092,0.90134,0.96262,0.83442,0.43138,0.48774,0.31989,0.0045,0,0.0014258,0.0014258,0.0014258
31,2991.77,0.56191,0.51212,0.40228,0.00345,0.315,0.90688,0.9123,0.95492,0.87611,0.90809,0.91352,0.95792,0.83922,0.42904,0.47929,0.34739,0.00448,0,0.001406,0.001406,0.001406
32,3088.26,0.5397,0.48034,0.38708,0.00326,0.30652,0.91347,0.9001,0.9616,0.88347,0.91167,0.8989,0.95837,0.84782,0.42107,0.46447,0.34239,0.00444,0,0.0013862,0.0013862,0.0013862
33,3184.73,0.55068,0.48914,0.38867,0.00343,0.3134,0.89702,0.94032,0.96347,0.87664,0.92149,0.91493,0.96139,0.84089,0.43384,0.49065,0.36338,0.00461,0,0.0013664,0.0013664,0.0013664
34,3281.16,0.55653,0.49133,0.38247,0.00337,0.29558,0.91858,0.91596,0.95639,0.882,0.92102,0.91839,0.96166,0.84109,0.42601,0.48092,0.35464,0.00468,0,0.0013466,0.0013466,0.0013466
35,3377.56,0.5339,0.48189,0.37436,0.00329,0.31076,0.92045,0.90134,0.95957,0.87706,0.92252,0.90134,0.9597,0.84036,0.42823,0.48595,0.36187,0.00455,0,0.0013268,0.0013268,0.0013268
36,3474.06,0.52847,0.4746,0.37502,0.00323,0.28901,0.89916,0.94275,0.96319,0.8847,0.898,0.94153,0.95932,0.84433,0.42059,0.48037,0.34377,0.00434,0,0.001307,0.001307,0.001307
37,3570.54,0.52509,0.48071,0.38196,0.00313,0.30418,0.90679,0.91247,0.95874,0.88269,0.90477,0.91421,0.95796,0.84744,0.41354,0.4833,0.37014,0.00438,0,0.0012872,0.0012872,0.0012872
38,3667.02,0.51051,0.45955,0.35986,0.00304,0.28062,0.93018,0.89255,0.9678,0.88882,0.93039,0.89544,0.96507,0.85602,0.40758,0.4589,0.32833,0.00438,0,0.0012674,0.0012674,0.0012674
39,3763.48,0.51841,0.47513,0.36653,0.00311,0.27565,0.93183,0.93232,0.97225,0.89781,0.93061,0.9311,0.96977,0.85254,0.40434,0.47186,0.31519,0.00433,0,0.0012476,0.0012476,0.0012476
40,3860.04,0.51124,0.4668,0.35531,0.00306,0.28227,0.91857,0.92053,0.96619,0.89325,0.91978,0.92175,0.96732,0.85496,0.41188,0.45563,0.30675,0.00438,0,0.0012278,0.0012278,0.0012278
41,3956.6,0.51024,0.47058,0.35018,0.0031,0.26294,0.89502,0.91387,0.96025,0.89361,0.89622,0.91508,0.96011,0.84904,0.39332,0.44695,0.35899,0.00415,0,0.001208,0.001208,0.001208
42,4053.1,0.4978,0.45625,0.33688,0.00293,0.25937,0.91128,0.92577,0.96501,0.8937,0.91008,0.92455,0.96412,0.85527,0.39562,0.53357,0.33241,0.00396,0,0.0011882,0.0011882,0.0011882
43,4149.62,0.50168,0.46449,0.33924,0.00297,0.26187,0.94452,0.93319,0.97279,0.90307,0.94329,0.93197,0.97111,0.85571,0.3843,0.44848,0.30665,0.00398,0,0.0011684,0.0011684,0.0011684
44,4246.34,0.49245,0.45336,0.32847,0.00293,0.25151,0.92782,0.92692,0.97194,0.90667,0.92538,0.92448,0.96805,0.85847,0.38478,0.45817,0.31402,0.00397,0,0.0011486,0.0011486,0.0011486
45,4342.98,0.49156,0.44936,0.33883,0.00286,0.28561,0.94073,0.90499,0.96993,0.90358,0.93947,0.90378,0.96788,0.85111,0.38532,0.45584,0.29234,0.00402,0,0.0011288,0.0011288,0.0011288
46,4439.54,0.48502,0.44577,0.32902,0.00278,0.2475,0.93128,0.92442,0.97122,0.90452,0.93006,0.9232,0.96897,0.8537,0.37457,0.4499,0.29162,0.00383,0,0.001109,0.001109,0.001109
47,4536.09,0.48761,0.44807,0.32062,0.00288,0.25114,0.91483,0.92889,0.96886,0.90701,0.91483,0.92889,0.96676,0.85956,0.37553,0.44715,0.30749,0.00405,0,0.0010892,0.0010892,0.0010892
48,4632.76,0.47479,0.44492,0.32223,0.00276,0.24684,0.94021,0.91935,0.96951,0.90858,0.93896,0.91813,0.96667,0.85632,0.3699,0.46207,0.30505,0.00374,0,0.0010694,0.0010694,0.0010694
49,4729.24,0.47624,0.44428,0.31979,0.00273,0.24719,0.9258,0.9257,0.96959,0.9144,0.92824,0.92814,0.97002,0.85911,0.35967,0.45076,0.27286,0.00378,0,0.0010496,0.0010496,0.0010496
50,4825.78,0.46339,0.44321,0.31322,0.00267,0.23046,0.93426,0.93466,0.97203,0.91261,0.93295,0.93219,0.96873,0.8622,0.36043,0.44601,0.27846,0.00373,0,0.0010298,0.0010298,0.0010298
51,4922.28,0.46713,0.43786,0.31303,0.00274,0.24407,0.93714,0.93301,0.97577,0.91538,0.93591,0.93179,0.97377,0.85984,0.35744,0.44503,0.27345,0.00371,0,0.00101,0.00101,0.00101
52,5018.86,0.46673,0.44774,0.31378,0.00268,0.23714,0.94202,0.91596,0.97104,0.91134,0.91978,0.9357,0.97017,0.86014,0.36226,0.43562,0.30041,0.00364,0,0.0009902,0.0009902,0.0009902
53,5115.41,0.46151,0.42846,0.31551,0.0026,0.23807,0.94139,0.91961,0.97339,0.91823,0.93125,0.92935,0.97161,0.86245,0.35069,0.43237,0.27423,0.00359,0,0.0009704,0.0009704,0.0009704
54,5211.99,0.45945,0.43041,0.30553,0.00268,0.23856,0.93329,0.9202,0.97352,0.90977,0.93072,0.92326,0.97141,0.86005,0.36594,0.4434,0.2844,0.0037,0,0.0009506,0.0009506,0.0009506
55,5308.48,0.45179,0.42915,0.3013,0.00251,0.22044,0.9336,0.93301,0.97397,0.92081,0.93109,0.93301,0.97324,0.86788,0.341,0.44474,0.28133,0.00346,0,0.0009308,0.0009308,0.0009308
56,5405.03,0.43995,0.42294,0.28944,0.00257,0.22556,0.91118,0.94969,0.97503,0.91868,0.91124,0.95032,0.97281,0.86508,0.33988,0.4393,0.29123,0.00339,0,0.000911,0.000911,0.000911
57,5501.57,0.43719,0.4296,0.28761,0.00242,0.21294,0.91522,0.95985,0.97819,0.92192,0.91522,0.95985,0.9762,0.87182,0.34106,0.42918,0.25859,0.00344,0,0.0008912,0.0008912,0.0008912
58,5598.11,0.43806,0.4188,0.27859,0.00242,0.2002,0.9442,0.92741,0.97531,0.92157,0.94422,0.92774,0.97532,0.86564,0.34975,0.42971,0.26876,0.0036,0,0.0008714,0.0008714,0.0008714
